Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,PF
11,Johneshwy Fargas,29,67,299,273,53,77,19,2,5,25,15,8,13,53,0.282,0.33,0.421,0.751,115,5,7,5,1,0,SAL,0.996117193
2,Kristian Delgado,30,46,161,142,19,40,8,0,3,20,0,3,12,28,0.282,0.35,0.401,0.752,57,3,3,4,0,0,CHI,1.104916111
23,Alejandro Rivero,27,57,192,174,25,49,14,1,2,16,1,5,8,53,0.282,0.339,0.408,0.747,71,3,7,3,0,0,CHI,1.104916111
19,Webster Rivas,33,68,250,221,28,62,14,0,7,32,0,1,27,53,0.281,0.36,0.439,0.799,97,6,1,0,1,2,YUC,0.91908046
12,Jorge Flores,32,73,275,224,42,63,10,1,0,24,7,5,39,48,0.281,0.391,0.335,0.726,75,3,2,9,1,0,OAX,0.985605712
20,Michael Robles,26,46,191,164,27,46,9,0,4,18,3,3,18,32,0.281,0.36,0.409,0.769,67,3,3,5,1,1,DUR,1.050243683
16,Alex Mejia,33,73,268,246,25,69,11,1,3,41,1,5,13,41,0.281,0.316,0.37,0.686,91,4,1,5,3,1,SAL,0.996117193
22,Niko Vasquez,35,79,338,286,43,80,15,1,8,44,0,0,48,66,0.28,0.383,0.423,0.806,121,5,1,1,2,0,TIJ,0.965961179
10,Eric Filia*,31,83,378,314,61,88,15,1,3,43,6,1,51,44,0.28,0.384,0.363,0.748,114,8,4,6,3,3,MVA,0.986601464
14,Leonardo Heras*,34,56,185,158,23,44,9,2,2,16,11,5,21,40,0.279,0.368,0.399,0.767,63,0,2,3,1,3,TAB,0.885204422
17,Gustavo Nunez#,36,83,368,319,47,89,12,0,7,40,14,5,43,41,0.279,0.364,0.382,0.747,122,10,1,3,2,0,VER,0.928407717
10,Odúbel Herrera*,32,17,72,61,12,17,2,0,3,10,1,0,11,9,0.279,0.389,0.459,0.848,28,5,0,0,0,0,PUE,1.055090728
17,Gabriel Lino,31,55,194,179,26,50,7,0,9,35,1,0,10,52,0.279,0.326,0.469,0.796,84,3,3,1,1,0,OAX,0.985605712
18,Kyle Martin*,31,72,322,273,55,76,12,0,21,68,5,0,42,70,0.278,0.388,0.553,0.941,151,3,7,0,0,5,OAX,0.985605712
4,Julian Escobedo*,26,59,191,159,39,44,9,6,5,28,2,1,24,35,0.277,0.378,0.503,0.881,80,1,3,3,2,0,ULA,0.968507678
1,Angel Aguilar,29,40,152,137,18,38,9,0,6,23,2,1,8,34,0.277,0.325,0.475,0.799,65,1,3,1,3,1,MVA,0.986601464
8,Jesus Espinoza,33,60,220,192,27,53,13,3,5,25,0,2,19,35,0.276,0.347,0.453,0.8,87,4,3,4,2,0,VER,0.928407717
10,Jonathan Morales,29,29,90,76,14,21,4,0,4,14,0,1,8,13,0.276,0.337,0.487,0.824,37,0,0,4,2,0,MTY,0.977770943
23,Randy Romero,24,76,305,265,49,73,12,3,1,23,30,1,27,52,0.276,0.348,0.355,0.703,94,3,3,9,1,0,TAB,0.885204422
2,Jasson Atondo,28,63,277,254,33,70,14,2,0,23,5,1,14,22,0.276,0.315,0.347,0.661,88,4,1,7,1,0,TAB,0.885204422
17,Manny Olloque,28,30,94,80,13,22,5,2,2,6,1,1,13,24,0.275,0.383,0.463,0.846,37,0,1,0,0,0,DUR,1.050243683
9,Michael De León#,27,13,56,51,8,14,4,0,1,5,0,0,5,12,0.275,0.339,0.412,0.751,21,0,0,0,0,0,AGU,0.963026964
